skill,phase,preceded_by,followed_by,produces_in,consumes_from
osint,intel,,competitor-intel|deal-strategy|meeting-prep|market-brief,outputs/intel,datastore
osint-advanced,intel,osint,,outputs/intel,datastore
competitor-intel,intel,osint,deal-strategy,outputs/intel,datastore
market-brief,intel,,deal-strategy,outputs/intel,datastore
ceo-intel,intel,,intel-briefing-newsletter,outputs/intel,datastore
intel-briefing-newsletter,intel,ceo-intel|osint,editorial-review,outputs/intel,outputs/intel
yt-pulse,intel,,,outputs/intel,
x-pulse,intel,,,outputs/intel,
notebooklm,intel,,,outputs/intel,datastore
docparse,intel,,,outputs/intel,datastore
email-draft,comms,,,,
email-respond,comms,,,,
email-intel,comms,,crm|follow-up,outputs/operations/email-intelligence,
follow-up,comms,meeting-prep|event-debrief,crm,,crm
ceo-to-ceo,comms,,,outputs/documents,
corporate-letter,comms,,editorial-review,outputs/documents,datastore
telegram,comms,,crm,,
tribe-message,comms,,,outputs/content,
tribe-monday,comms,,,outputs/content,
translate,comms,,,,
linkedin-post,content,linkedin-series,linkedin-archive|image-prompt,outputs/content/linkedin,datastore
linkedin-series,content,,linkedin-post,outputs/content/linkedin,datastore
linkedin-archive,content,linkedin-post,,datastore/content/linkedin-archive,outputs/content/linkedin
keynote-deck,content,,pptx-generator,outputs/deliverables,datastore
image-prompt,content,linkedin-post,flux-image,,
flux-image,content,image-prompt,,outputs/content,
crm,crm,,,crm/contacts,
viraid,crm,,crm,,
google-contacts,crm,,,,
design,design,,,outputs/content,datastore
pptx-generator,design,keynote-deck,,outputs/deliverables,datastore
marp,design,,,outputs/deliverables,
deep-think,strategy,,create-plan|deal-strategy,,
council,strategy,deep-think,,,
deal-strategy,strategy,osint|competitor-intel|market-brief,proposal|partnership-doc|voss,outputs/negotiations,crm
investor-pitch,strategy,,data-room,outputs/deliverables,datastore
investor-update,strategy,,,outputs/deliverables,
proposal,strategy,deal-strategy,editorial-review,outputs/documents,datastore
partnership-doc,strategy,deal-strategy,editorial-review,outputs/documents,datastore
official-doc,strategy,,,outputs/documents,
xpager,strategy,,,outputs/documents,datastore
rfp-response,strategy,,editorial-review,outputs/documents,datastore
data-room,strategy,investor-pitch,editorial-review,outputs/deliverables,datastore
voss,strategy,,meeting-prep,outputs/negotiations,
state-check,strategy,,,outputs/operations,
meeting-prep,strategy,osint|voss,follow-up,outputs/intel,crm
odin,strategy,,,knowledge/odin-brain,knowledge
editorial-review,operations,,,,reference
prime,operations,,next,,
next,operations,prime,,,reference
dashboard,operations,,,outputs/operations/dashboard,
weekly-review,operations,,,outputs/operations/reviews,
dream,operations,,,,
backup,operations,,,,
sync,operations,,,,
push-updates,operations,,backup,,
publish-corporate,operations,,push-updates,,
create-plan,operations,deep-think,implement,plans,
implement,operations,create-plan,evaluate|scrutinize,outputs/operations/implement,plans
evaluate,operations,implement,,,
scrutinize,operations,implement,,outputs/operations/scrutiny,
workspace-deep-audit,operations,,scrutinize,outputs/operations/workspace,
calibrate,operations,,,,
checkpoint,operations,,,outputs/operations/handoff-archive,
align,operations,,,,
devil,operations,,,,
burst,operations,,,,
validate,operations,,,,datastore
sentinel,operations,,,,
cold-sweep,operations,,follow-up,,crm
brain-audit,operations,,,,
bridge-health,operations,,,,
thread,operations,,,threads,
mullvad,operations,,,,
modem-tune,operations,,,,
playwright,operations,,,outputs/browser,
ast-grep,operations,,,,
setup-browser-cookies,operations,,,,
context7,operations,,,,
skill-creator,operations,,,,
request-skill,operations,,skill-creator,,
setup-wizard,operations,,,,
event-debrief,operations,,follow-up,outputs/operations,
interview-prep,operations,,,outputs/operations,
zk,operations,,,knowledge,
